Starting Training Phase for Epoch 1/5
Epoch 1, Batch 7, Game ID: None, MSE Loss: 166.7137, Percentage Loss: 10.36%, Actual Scores: [106.0, 88.0], Predicted Scores: [103.87471008300781, 98.72237396240234]
Epoch 1, Batch 7, Game ID: None, MSE Loss: 166.7137, Percentage Loss: 10.36%, Actual Scores: [95.0, 120.0], Predicted Scores: [98.96826934814453, 91.95927429199219]
Epoch 1, Batch 7, Game ID: None, MSE Loss: 166.7137, Percentage Loss: 10.36%, Actual Scores: [92.0, 78.0], Predicted Scores: [100.52094268798828, 95.31806182861328]
Epoch 1, Batch 7, Game ID: None, MSE Loss: 166.7137, Percentage Loss: 10.36%, Actual Scores: [112.0, 114.0], Predicted Scores: [102.74807739257812, 99.1265640258789]
Epoch 1, Batch 7, Game ID: None, MSE Loss: 166.7137, Percentage Loss: 10.36%, Actual Scores: [121.0, 124.0], Predicted Scores: [100.05043029785156, 92.25617218017578]
Epoch 1, Batch 7, Game ID: None, MSE Loss: 166.7137, Percentage Loss: 10.36%, Actual Scores: [97.0, 90.0], Predicted Scores: [97.05123138427734, 89.10730743408203]
Epoch 1, Batch 7, Game ID: None, MSE Loss: 166.7137, Percentage Loss: 10.36%, Actual Scores: [110.0, 87.0], Predicted Scores: [105.22789001464844, 100.7320327758789]
Epoch 1, Batch 7, Game ID: None, MSE Loss: 166.7137, Percentage Loss: 10.36%, Actual Scores: [92.0, 98.0], Predicted Scores: [102.15184783935547, 93.51324462890625]
Epoch 1, Batch 7, Game ID: None, MSE Loss: 166.7137, Percentage Loss: 10.36%, Actual Scores: [101.0, 98.0], Predicted Scores: [89.30736541748047, 81.05966186523438]
Epoch 1, Batch 7, Game ID: None, MSE Loss: 166.7137, Percentage Loss: 10.36%, Actual Scores: [98.0, 84.0], Predicted Scores: [101.4096450805664, 100.95366668701172]
Epoch 1, Batch 7, Game ID: None, MSE Loss: 166.7137, Percentage Loss: 10.36%, Actual Scores: [112.0, 103.0], Predicted Scores: [95.84989166259766, 93.64981079101562]
Epoch 1, Batch 8, Game ID: None, MSE Loss: 176.6378, Percentage Loss: 11.50%, Actual Scores: [77.0, 84.0], Predicted Scores: [98.37055206298828, 101.19871520996094]
Epoch 1, Batch 8, Game ID: None, MSE Loss: 176.6378, Percentage Loss: 11.50%, Actual Scores: [115.0, 87.0], Predicted Scores: [105.31891632080078, 100.49685668945312]
Epoch 1, Batch 8, Game ID: None, MSE Loss: 176.6378, Percentage Loss: 11.50%, Actual Scores: [78.0, 96.0], Predicted Scores: [105.00338745117188, 100.53201293945312]
Epoch 1, Batch 8, Game ID: None, MSE Loss: 176.6378, Percentage Loss: 11.50%, Actual Scores: [104.0, 99.0], Predicted Scores: [92.5550537109375, 90.58378601074219]
Epoch 1, Batch 8, Game ID: None, MSE Loss: 176.6378, Percentage Loss: 11.50%, Actual Scores: [80.0, 92.0], Predicted Scores: [90.30927276611328, 87.19290161132812]
Epoch 1, Batch 8, Game ID: None, MSE Loss: 176.6378, Percentage Loss: 11.50%, Actual Scores: [83.0, 105.0], Predicted Scores: [97.47545623779297, 99.93519592285156]
Epoch 1, Batch 8, Game ID: None, MSE Loss: 176.6378, Percentage Loss: 11.50%, Actual Scores: [85.0, 96.0], Predicted Scores: [97.69733428955078, 104.72804260253906]
Epoch 1, Batch 8, Game ID: None, MSE Loss: 176.6378, Percentage Loss: 11.50%, Actual Scores: [112.0, 120.0], Predicted Scores: [98.28202819824219, 101.8620376586914]
Epoch 1, Batch 8, Game ID: None, MSE Loss: 176.6378, Percentage Loss: 11.50%, Actual Scores: [111.0, 100.0], Predicted Scores: [99.15449523925781, 95.56720733642578]
Epoch 1, Batch 8, Game ID: None, MSE Loss: 176.6378, Percentage Loss: 11.50%, Actual Scores: [116.0, 101.0], Predicted Scores: [105.8447036743164, 98.34040832519531]
Epoch 1, Batch 8, Game ID: None, MSE Loss: 176.6378, Percentage Loss: 11.50%, Actual Scores: [104.0, 94.0], Predicted Scores: [98.59893798828125, 92.01382446289062]
Epoch 1, Batch 8, Game ID: None, MSE Loss: 176.6378, Percentage Loss: 11.50%, Actual Scores: [104.0, 94.0], Predicted Scores: [105.01274871826172, 102.9900894165039]
Epoch 1, Batch 8, Game ID: None, MSE Loss: 176.6378, Percentage Loss: 11.50%, Actual Scores: [113.0, 117.0], Predicted Scores: [100.77215576171875, 98.46971130371094]
